Course,DayOfWeek,TimeSlot,AttendanceRate
OOP,Wednesday,10:00,83.43122687189818
OOP,Tuesday,11:00,83.70418150828303
IoT,Monday,10:00,91.85376461474911
DS,Wednesday,12:00,94.43355324038373
IoT,Friday,10:00,79.92998016368922
DS,Wednesday,10:00,93.52233740882431
MFA,Wednesday,13:00,88.04462973712143
DBMS,Wednesday,10:00,97.04693181272309
IoT,Monday,12:00,72.04709450331293
MFA,Friday,10:00,86.09782785030586
IoT,Monday,11:00,72.57102310635173
OOP,Wednesday,13:00,98.19206218359979
OOP,Tuesday,10:00,87.52932733428781
DBMS,Thursday,11:00,83.83689673089316
DS,Friday,09:00,95.98543991836297
DBMS,Monday,12:00,72.78930584539373
DS,Monday,11:00,78.00915651160504
IoT,Tuesday,11:00,96.31988748611718
DS,Thursday,09:00,74.37781316214303
DBMS,Thursday,11:00,84.0475900002507
OOP,Monday,12:00,79.6373949282728
DS,Thursday,13:00,85.00119128035273
MFA,Monday,10:00,98.60751301473334
MFA,Monday,09:00,71.34839549304343
MFA,Friday,10:00,87.70425286870069
MFA,Wednesday,12:00,81.3050017841393
IoT,Wednesday,10:00,98.23475263149962
OOP,Monday,13:00,84.76000495130556
OOP,Friday,13:00,88.17355497076221
OOP,Thursday,13:00,78.3547666054557
IoT,Friday,12:00,91.01101219815274
MFA,Thursday,09:00,86.62931358379477
IoT,Wednesday,12:00,79.46307694711165
DBMS,Thursday,12:00,75.74044774170632
DS,Friday,13:00,75.5939576523131
DBMS,Wednesday,13:00,94.45142070976583
OOP,Monday,12:00,76.71165607970467
OOP,Thursday,11:00,84.01912976154789
OOP,Friday,12:00,91.75856777106246
IoT,Monday,12:00,91.46848604792804
DBMS,Wednesday,10:00,78.48065136730138
DBMS,Tuesday,10:00,91.18902200359518
OOP,Tuesday,13:00,97.06499269815598
DS,Tuesday,13:00,76.1835058746667
OOP,Tuesday,10:00,75.76149909231049
OOP,Monday,13:00,80.4407371042273
DS,Wednesday,12:00,82.1976157762144
DS,Friday,13:00,83.94811883054595
OOP,Tuesday,10:00,75.80635019620834
DS,Monday,10:00,75.09642339237644
DBMS,Friday,11:00,91.08937824773516
DS,Thursday,10:00,84.65546650170513
DS,Tuesday,13:00,87.3422894117818
DS,Thursday,09:00,89.59503201624199
DS,Wednesday,12:00,74.9382313523625
DBMS,Wednesday,10:00,93.72322970334064
DS,Monday,13:00,77.78271351292008
OOP,Friday,10:00,82.0965147265416
DBMS,Monday,12:00,81.49367732481149
MFA,Tuesday,13:00,87.92544620087578
DS,Friday,13:00,92.52177374832675
MFA,Tuesday,09:00,79.34630683731088
MFA,Thursday,12:00,81.23162634400063
DBMS,Friday,11:00,81.15303831809997
DS,Friday,11:00,83.98550954380738
OOP,Wednesday,12:00,84.44508484951535
IoT,Wednesday,10:00,95.11829338606714
IoT,Tuesday,12:00,94.9799685433787
DBMS,Thursday,13:00,87.89108781070854
DBMS,Wednesday,11:00,92.87361314086547
MFA,Wednesday,13:00,72.99596793209761
DBMS,Friday,13:00,85.15119997596737
DBMS,Friday,10:00,70.05520733979503
MFA,Friday,10:00,81.19017017494237
MFA,Wednesday,12:00,73.96783200012207
MFA,Monday,11:00,77.92299787117055
OOP,Wednesday,09:00,74.65049400764487
DBMS,Thursday,11:00,78.97104469986944
MFA,Tuesday,13:00,88.50136271370381
OOP,Wednesday,11:00,74.77802667512621
DBMS,Monday,13:00,88.25261719846478
OOP,Tuesday,11:00,87.89335453209675
MFA,Wednesday,13:00,83.94366965282214
IoT,Monday,12:00,72.76321497486853
IoT,Tuesday,12:00,87.99957584077266
MFA,Monday,13:00,94.19315469718859
MFA,Tuesday,10:00,72.14717673283472
MFA,Wednesday,12:00,94.4363837089068
DS,Monday,10:00,96.04941282601246
OOP,Monday,13:00,96.1262905163807
IoT,Monday,09:00,99.45943090950614
DS,Thursday,13:00,97.03034432523249
IoT,Monday,11:00,72.30414960025291
DBMS,Wednesday,13:00,72.5406368810516
IoT,Tuesday,11:00,71.31443673001004
DS,Thursday,09:00,88.86405751492264
DBMS,Wednesday,10:00,87.204210349184
MFA,Wednesday,10:00,98.021991508278
DBMS,Wednesday,12:00,98.5121921776866
DBMS,Wednesday,13:00,81.15591450232637
OOP,Tuesday,11:00,98.4135201448605
DS,Monday,12:00,71.99099277578503
MFA,Monday,11:00,94.68214455489804
IoT,Wednesday,11:00,98.89557353965273
MFA,Friday,13:00,74.3883221949199
DS,Monday,13:00,70.37210268666354
DBMS,Monday,12:00,81.18859451385381
DBMS,Friday,13:00,90.64630779984833
DBMS,Tuesday,10:00,79.85025422214277
DS,Tuesday,11:00,99.05261922535425
IoT,Thursday,13:00,89.33323077304432
DS,Friday,10:00,92.5401071398497
DS,Tuesday,09:00,72.461049018355
IoT,Thursday,11:00,70.12728293411519
MFA,Wednesday,12:00,97.60566314752529
OOP,Monday,09:00,81.23286934386319
DS,Thursday,13:00,92.73292483483671
OOP,Wednesday,10:00,77.50159072260077
IoT,Monday,10:00,95.07433366731863
DBMS,Tuesday,13:00,96.39691310070187
OOP,Wednesday,12:00,87.4344855363823
DBMS,Monday,12:00,98.23314331322318
MFA,Tuesday,13:00,88.80740616280703
MFA,Tuesday,10:00,73.38093420312092
DS,Tuesday,13:00,76.75179009552713
MFA,Thursday,13:00,88.08891807239205
DBMS,Monday,10:00,82.94828448229099
DBMS,Tuesday,12:00,93.96503436653441
MFA,Monday,10:00,87.51239482470929
DS,Thursday,11:00,71.78625372623615
MFA,Thursday,13:00,79.87592030415878
DS,Thursday,12:00,91.5898917589553
DS,Monday,13:00,79.96339525397619
MFA,Wednesday,11:00,95.45893120027142
OOP,Tuesday,10:00,99.4424625870099
MFA,Friday,09:00,90.6688447349804
OOP,Friday,09:00,96.38009514720392
DBMS,Monday,10:00,74.8995099041678
DBMS,Thursday,09:00,94.9563688482948
DBMS,Tuesday,09:00,90.37244417436946
OOP,Thursday,10:00,70.0170780610243
DBMS,Friday,13:00,91.72482705257791
OOP,Tuesday,10:00,81.06877437155075
DS,Wednesday,12:00,94.29824431693217
DS,Friday,13:00,89.97103926698925
OOP,Thursday,09:00,96.59842374132225
DBMS,Tuesday,12:00,97.727614109838
DS,Monday,11:00,83.80062318207737
IoT,Monday,09:00,85.55049861187457
OOP,Monday,13:00,94.93201670652925
OOP,Friday,09:00,81.96586031390486
MFA,Wednesday,11:00,72.33175082953285
OOP,Thursday,09:00,88.45723458383446
DS,Tuesday,13:00,70.67985665262543
DBMS,Tuesday,09:00,86.26772988349394
OOP,Tuesday,10:00,98.25208989581778
MFA,Thursday,10:00,95.62166260301898
DBMS,Wednesday,13:00,80.47390761768904
IoT,Tuesday,09:00,82.10007319602744
MFA,Monday,10:00,92.71179974258357
DBMS,Wednesday,11:00,83.54153800327742
DBMS,Tuesday,10:00,96.80245476189367
DBMS,Thursday,12:00,85.38811828339936
DBMS,Friday,11:00,92.22173029043297
MFA,Thursday,12:00,79.27346967098592
IoT,Tuesday,11:00,97.30229673312851
OOP,Monday,13:00,95.9364887575104
DBMS,Tuesday,11:00,70.53305582792792
DBMS,Wednesday,11:00,70.49260226710936
MFA,Tuesday,09:00,91.76675886867416
IoT,Monday,12:00,71.74041907006087
DBMS,Thursday,11:00,95.7462016916843
DS,Friday,09:00,93.80938345559969
OOP,Monday,13:00,82.57431172544841
OOP,Tuesday,11:00,84.08399875704455
IoT,Friday,09:00,86.80732626023178
OOP,Thursday,10:00,92.65001735353198
DS,Thursday,11:00,72.39910370963703
IoT,Monday,09:00,74.52945946714804
MFA,Thursday,11:00,73.50474190671261
DS,Monday,11:00,73.82124731620436
MFA,Thursday,12:00,95.74848374698294
DBMS,Monday,10:00,93.97950405894309
IoT,Tuesday,12:00,88.9798597264144
DS,Friday,11:00,93.66727369437592
IoT,Thursday,09:00,93.27426440832483
IoT,Wednesday,09:00,76.92317970884847
MFA,Thursday,13:00,76.20272902222237
DS,Thursday,11:00,92.66389572119259
MFA,Thursday,11:00,75.05890160681543
MFA,Monday,09:00,83.856483239217
IoT,Wednesday,09:00,97.53237654393469
IoT,Tuesday,10:00,70.02042640819396
DS,Wednesday,10:00,78.61110112674703
OOP,Thursday,11:00,78.8397851233312
OOP,Wednesday,12:00,88.79458051474563
DBMS,Monday,11:00,75.25100329654211
DBMS,Wednesday,12:00,74.95261298019872
DS,Thursday,12:00,89.76597847621589
IoT,Friday,10:00,76.6955619959165
DBMS,Wednesday,09:00,77.07194523005867
DBMS,Thursday,13:00,88.95620277778362
DS,Thursday,12:00,96.51031359027517
DS,Tuesday,11:00,75.21928671188446
MFA,Wednesday,09:00,78.03927705672989
DBMS,Monday,11:00,83.55844834314232
OOP,Monday,13:00,99.26177651661419
DBMS,Thursday,13:00,76.89708311574805
DBMS,Tuesday,11:00,74.37227918327284
MFA,Wednesday,10:00,75.0742227046371
DBMS,Monday,11:00,80.34101500992341
DS,Tuesday,12:00,86.53866466996047
MFA,Tuesday,10:00,85.11136963593063
OOP,Monday,10:00,93.31547740119667
OOP,Thursday,10:00,73.23073249712982
IoT,Wednesday,11:00,74.48171787452742
DS,Tuesday,09:00,82.79977962021535
DBMS,Wednesday,13:00,90.59126194805367
DS,Wednesday,11:00,98.3088954012637
DS,Monday,13:00,91.46848579289568
MFA,Thursday,10:00,74.14996346159417
MFA,Friday,11:00,71.2994276795244
OOP,Wednesday,13:00,92.49549676738107
IoT,Friday,09:00,94.10332569231869
OOP,Wednesday,09:00,77.72536422401784
DS,Friday,12:00,73.17411385493095
MFA,Tuesday,12:00,86.59517456382326
MFA,Monday,09:00,70.68267657905993
DS,Thursday,13:00,82.05472060757276
DS,Monday,11:00,99.21319056042208
OOP,Thursday,11:00,71.42475930091999
DBMS,Thursday,12:00,80.23296401797212
DS,Tuesday,09:00,90.04497906313956
OOP,Tuesday,12:00,72.42478694813506
IoT,Wednesday,10:00,85.5918765261834
OOP,Monday,10:00,87.97970754562246
MFA,Tuesday,11:00,79.08965590432352
IoT,Monday,12:00,99.30443445298303
DBMS,Friday,11:00,72.83781558680883
MFA,Thursday,10:00,78.76286973628959
DBMS,Monday,10:00,92.4201097880728
OOP,Monday,10:00,95.83022630002586
DS,Monday,09:00,98.06610149176723
DS,Wednesday,11:00,83.51354282368845
OOP,Tuesday,09:00,77.92185254208981
IoT,Thursday,09:00,99.8371210011458
DBMS,Friday,09:00,97.29719093568951
OOP,Tuesday,10:00,77.45776699943775
OOP,Wednesday,10:00,93.17040964612865
DBMS,Monday,12:00,75.27158952165382
OOP,Tuesday,09:00,72.49704579805854
IoT,Thursday,12:00,79.7183519567109
IoT,Friday,11:00,89.0202935382428
DS,Thursday,09:00,88.15790406181593
MFA,Wednesday,09:00,94.58825024206546
OOP,Wednesday,10:00,74.9857136251978
OOP,Friday,09:00,83.65245227552757
IoT,Friday,10:00,71.20703011238197
OOP,Tuesday,10:00,81.69363165843673
IoT,Friday,12:00,74.7839777277248
IoT,Monday,10:00,82.11574723796917
OOP,Wednesday,10:00,96.4664268997042
DBMS,Tuesday,09:00,80.2277080463059
MFA,Friday,13:00,82.79216293551907
DBMS,Wednesday,10:00,74.79830653084372
MFA,Friday,10:00,72.63288810881295
DS,Thursday,13:00,79.5606696727103
MFA,Tuesday,13:00,86.04954146853541
MFA,Wednesday,11:00,79.54310446033006
OOP,Friday,12:00,95.09229299082517
MFA,Thursday,10:00,75.14193388866575
IoT,Friday,12:00,80.51315492792705
IoT,Friday,12:00,92.21509877607402
DS,Friday,13:00,82.32713695183975
DBMS,Thursday,11:00,91.90497989275684
DS,Friday,09:00,97.95318132404378
MFA,Wednesday,12:00,82.33169429792899
DBMS,Thursday,10:00,95.61494266015961
DS,Tuesday,12:00,72.99368342816199
OOP,Friday,13:00,85.54682567117048
DS,Tuesday,10:00,98.08141523260329
DBMS,Thursday,12:00,73.45895836955658
DS,Thursday,13:00,91.93397783397668
DBMS,Friday,10:00,79.61916768722567
DBMS,Friday,13:00,71.35946571071823
OOP,Wednesday,12:00,87.01891371094945
IoT,Friday,10:00,79.55963987406064
IoT,Monday,10:00,70.0838284915936
DBMS,Monday,13:00,86.03187676123247
OOP,Tuesday,10:00,96.49703802093745
DBMS,Friday,11:00,76.75914066899313
DBMS,Monday,09:00,99.06910867730669
IoT,Monday,12:00,99.99701073517737
DBMS,Friday,10:00,72.94124645106889
IoT,Thursday,10:00,98.69780348796493
OOP,Wednesday,09:00,90.98550086204534
DBMS,Wednesday,12:00,97.78713812603057
IoT,Wednesday,09:00,86.34785283676615
DS,Tuesday,10:00,98.89244494122752
MFA,Thursday,12:00,75.4577802352184
OOP,Monday,12:00,71.69236529706949
OOP,Monday,12:00,87.59335762286037
IoT,Wednesday,11:00,90.40733350759353
DS,Friday,09:00,94.95431824824158
DBMS,Tuesday,12:00,94.9039008977789
IoT,Thursday,11:00,79.45055172189612
DS,Friday,12:00,75.99663215809821
OOP,Friday,09:00,72.30099150959511
IoT,Tuesday,12:00,83.31093333148074
MFA,Friday,09:00,82.2829512735367
OOP,Monday,09:00,90.65375612383964
DBMS,Wednesday,10:00,97.69889278607587
MFA,Thursday,11:00,79.636975180727
DS,Friday,12:00,84.4193234168026
IoT,Wednesday,13:00,96.30728236038468
MFA,Friday,09:00,92.96393896426751
OOP,Monday,11:00,77.1078622745045
OOP,Monday,10:00,70.59069161169026
IoT,Wednesday,13:00,72.7561639973064
DS,Wednesday,10:00,71.12570666433075
OOP,Monday,11:00,78.50913648966592
DBMS,Wednesday,10:00,86.47567674092426
MFA,Thursday,09:00,96.0937507789025
DBMS,Wednesday,09:00,76.24137673261521
DS,Wednesday,11:00,88.9937921812445
DS,Friday,10:00,90.65437203896315
IoT,Thursday,13:00,85.41473183194078
MFA,Thursday,13:00,92.2975460407909
MFA,Monday,09:00,85.7391373659014
DBMS,Monday,09:00,97.27824956337199
IoT,Monday,13:00,88.50174363601509
OOP,Monday,10:00,73.07516663472995
OOP,Friday,13:00,96.55369112026618
OOP,Tuesday,09:00,97.23312367592632
MFA,Friday,09:00,83.88802450391016
DBMS,Tuesday,12:00,78.49271147689458
DS,Thursday,10:00,91.40338398572528
DS,Monday,11:00,98.5912125410095
DS,Thursday,11:00,90.79459612448011
DBMS,Tuesday,10:00,93.02148247113851
OOP,Monday,11:00,76.73265276579961
DS,Tuesday,10:00,72.86995313982408
DS,Thursday,13:00,93.74447346428467
OOP,Tuesday,12:00,95.96441437015727
DBMS,Thursday,10:00,97.07603943105634
DBMS,Friday,12:00,76.89253578857334
DBMS,Friday,11:00,82.38031529600113
OOP,Friday,11:00,77.73091958639733
OOP,Monday,09:00,72.64045004931054
IoT,Thursday,09:00,90.38956024059256
MFA,Wednesday,13:00,94.44554057554978
DS,Wednesday,12:00,88.03357520522168
MFA,Friday,10:00,91.1164712870645
DBMS,Thursday,10:00,74.11012272935488
OOP,Friday,11:00,83.5378355650611
OOP,Monday,09:00,75.4550165411848
DBMS,Thursday,10:00,86.00677841082575
DBMS,Thursday,11:00,94.86698675538929
OOP,Wednesday,11:00,81.41300644123622
OOP,Tuesday,09:00,85.05113452553448
DS,Tuesday,09:00,82.8527087975567
DS,Wednesday,11:00,72.82911042181411
IoT,Tuesday,13:00,91.50868448724073
DBMS,Wednesday,13:00,70.8183961576861
IoT,Friday,10:00,82.2017388037991
MFA,Tuesday,12:00,72.96994651688921
DBMS,Tuesday,13:00,91.7070892431327
MFA,Friday,09:00,79.36379116067741
OOP,Monday,10:00,97.62309997283108
IoT,Friday,09:00,90.17441984194994
DS,Friday,12:00,79.55728202869834
IoT,Friday,10:00,83.95581165049622
MFA,Thursday,13:00,74.95200382727654
DS,Tuesday,09:00,81.0129904259039
OOP,Tuesday,11:00,88.49345722155684
DBMS,Thursday,10:00,87.55165137762089
DS,Thursday,10:00,70.48977938627525
OOP,Friday,09:00,78.12521297879665
IoT,Wednesday,13:00,74.67232790761504
OOP,Tuesday,10:00,81.14587596189685
DS,Thursday,10:00,70.15474303052278
IoT,Monday,12:00,87.95816374310763
OOP,Wednesday,13:00,78.6181260361036
DS,Monday,12:00,78.52766535293843
DBMS,Monday,09:00,96.95945427692638
OOP,Thursday,12:00,88.47729923909361
DS,Monday,12:00,71.03347160845453
DS,Friday,10:00,93.0148610319029
OOP,Friday,11:00,79.31122478855505
DBMS,Wednesday,12:00,88.6503607130546
IoT,Tuesday,11:00,70.99178835937145
MFA,Tuesday,09:00,88.10181588552256
OOP,Wednesday,13:00,99.07023201107849
OOP,Tuesday,10:00,93.84194995710052
IoT,Thursday,11:00,74.89754190645341
DBMS,Tuesday,09:00,89.78125356231726
DBMS,Tuesday,11:00,92.78047493124153
DS,Tuesday,09:00,83.02423685744448
DS,Monday,10:00,82.86487087924189
IoT,Tuesday,10:00,77.54001877797194
DS,Monday,10:00,73.38406022415252
DS,Tuesday,13:00,81.95493374906741
OOP,Tuesday,12:00,98.18036932814768
DS,Friday,10:00,95.80432285164112
OOP,Monday,09:00,74.93108195695888
DS,Tuesday,12:00,98.10692047165263
MFA,Friday,10:00,79.59259134021399
OOP,Monday,09:00,92.59791026423069
DS,Thursday,10:00,74.4424836152069
MFA,Friday,13:00,71.02832145851306
OOP,Thursday,11:00,89.60251717316228
MFA,Friday,11:00,73.1202860299243
DS,Tuesday,11:00,78.84236962198207
DS,Monday,11:00,75.24206038038031
OOP,Monday,09:00,99.01521547809398
IoT,Friday,10:00,90.20656745250358
OOP,Thursday,13:00,93.33984054750655
OOP,Monday,10:00,84.3060339745023
DBMS,Friday,12:00,71.40270431920153
MFA,Friday,10:00,90.8676297087491
MFA,Friday,12:00,85.71013479105228
OOP,Thursday,13:00,83.60623840267834
DBMS,Monday,12:00,88.11447684902818
MFA,Wednesday,09:00,91.49154660845996
DS,Thursday,10:00,94.95193442957924
OOP,Monday,13:00,96.01221760904133
IoT,Monday,10:00,77.57201344446814
DS,Tuesday,13:00,86.30949873646423
DBMS,Tuesday,12:00,85.8693282126442
DBMS,Monday,12:00,94.4371621983739
IoT,Tuesday,12:00,74.20844167925827
DBMS,Tuesday,11:00,85.5261837534966
IoT,Wednesday,13:00,97.68758959822759
MFA,Tuesday,11:00,96.76370196144137
DBMS,Tuesday,12:00,92.75666402138256
OOP,Thursday,13:00,77.8628715635208
OOP,Tuesday,09:00,87.62683695434946
DBMS,Friday,12:00,81.5849699808263
OOP,Monday,10:00,97.57147663750779
MFA,Monday,12:00,71.01082078208746
IoT,Wednesday,12:00,91.4953827684944
MFA,Friday,13:00,74.23793566975107
DBMS,Monday,13:00,84.96028827558818
DS,Monday,13:00,87.67711101853902
DBMS,Wednesday,09:00,74.72728730083065
DS,Thursday,09:00,85.74350190403528
DBMS,Wednesday,11:00,86.65926771255042
IoT,Wednesday,12:00,95.28493439683074
DS,Monday,10:00,92.69858034250004
MFA,Monday,09:00,72.1911112226075
DS,Thursday,10:00,75.39511527721253
DBMS,Monday,13:00,92.61002983173664
MFA,Friday,11:00,97.96641253125759
DS,Friday,12:00,91.24131305150968
IoT,Monday,10:00,78.81630932631236
DBMS,Friday,11:00,80.41184901350753
IoT,Friday,12:00,88.86192356028387
IoT,Friday,12:00,82.35907192535403
DBMS,Friday,13:00,78.8907043810856
DS,Friday,10:00,88.5723749722016
MFA,Friday,12:00,70.59881543477337
MFA,Wednesday,13:00,89.89463244957822
IoT,Wednesday,09:00,88.85178054351778
DBMS,Tuesday,13:00,71.46609563639743
DBMS,Wednesday,12:00,93.90462767938828
IoT,Monday,10:00,70.71323044869499
DBMS,Friday,13:00,75.82422961551626
DS,Wednesday,10:00,94.12429532359542
DS,Tuesday,10:00,89.73677050545734
DS,Friday,10:00,86.97048488551702
DS,Thursday,13:00,97.80550007981172
OOP,Monday,11:00,75.88797792953224
OOP,Friday,10:00,74.48712275852068
IoT,Friday,10:00,71.69174538096846
OOP,Thursday,13:00,93.0876811642041
OOP,Tuesday,09:00,86.40214687261333
IoT,Wednesday,10:00,82.2737854147047
DS,Tuesday,10:00,72.37465500420183
IoT,Tuesday,09:00,73.73532119007977
OOP,Thursday,10:00,90.91307478866426
MFA,Thursday,12:00,90.36907033777129
DS,Tuesday,10:00,97.80383061718231
DBMS,Thursday,11:00,91.72254596505877
DS,Friday,09:00,84.06344450550093
DS,Monday,13:00,79.4341913532431
IoT,Wednesday,11:00,81.16468321185874
DS,Wednesday,11:00,78.46397870893175
MFA,Thursday,13:00,84.24638701307515
MFA,Thursday,12:00,99.69507094470276
DBMS,Thursday,11:00,91.44913296757586
IoT,Friday,13:00,79.35160690458751
MFA,Friday,13:00,70.85164153424152
IoT,Tuesday,12:00,75.25452644786537
MFA,Thursday,10:00,92.896460062129
OOP,Friday,10:00,93.89525149602788
MFA,Wednesday,13:00,90.33269043945646
DBMS,Tuesday,09:00,84.97217042563503
MFA,Thursday,11:00,81.57547811063668
DBMS,Tuesday,13:00,84.70659513069839
MFA,Tuesday,13:00,89.6577295789457
IoT,Tuesday,13:00,96.08966305058848
OOP,Tuesday,13:00,95.4084769254589
OOP,Monday,13:00,93.59614127152915
IoT,Tuesday,12:00,79.5119176282767
IoT,Tuesday,13:00,78.5393214498247
DS,Friday,13:00,78.24506109239965
MFA,Friday,13:00,87.54931814447133
DS,Thursday,13:00,72.90818498834204
IoT,Tuesday,11:00,96.18027207797041
DBMS,Friday,10:00,85.84372075799894
OOP,Tuesday,10:00,70.61643759381461
DS,Tuesday,09:00,86.61296710079269
MFA,Tuesday,11:00,87.74682582959048
DBMS,Monday,13:00,84.11548472890738
IoT,Friday,12:00,90.77615705414235
DBMS,Tuesday,12:00,97.4158622788022
OOP,Thursday,12:00,76.31198123049914
MFA,Thursday,10:00,76.86415808604445
IoT,Monday,09:00,84.97424417190307
MFA,Friday,11:00,75.89286493164322
IoT,Friday,10:00,75.92122347258106
DBMS,Friday,09:00,95.8499238780161
IoT,Monday,11:00,86.59852294178212
MFA,Friday,12:00,83.89832110293513
OOP,Friday,10:00,79.79530745461545
DS,Thursday,09:00,79.62620311792928
DBMS,Friday,12:00,74.43930802419557
DBMS,Wednesday,12:00,95.28978663145645
OOP,Wednesday,12:00,82.33681060223539
DS,Monday,09:00,80.67369346828585
DS,Friday,12:00,84.00322560970159
MFA,Thursday,10:00,77.80445263767645
IoT,Friday,09:00,86.50823658404053
DBMS,Wednesday,11:00,70.61025105516885
OOP,Thursday,10:00,89.41438269605945
IoT,Thursday,10:00,91.18664027771324
DBMS,Monday,11:00,99.51203147690794
DS,Friday,11:00,97.71381073636007
DS,Friday,10:00,93.46839411839923
DS,Monday,13:00,91.67845320586073
IoT,Tuesday,09:00,88.62097973240313
OOP,Friday,11:00,97.54703359682287
DS,Tuesday,09:00,92.35618500945488
DBMS,Monday,12:00,88.3034256561969
DS,Thursday,09:00,90.46087813179537
DBMS,Thursday,09:00,82.39860018034776
IoT,Tuesday,12:00,70.2132698414901
OOP,Thursday,12:00,86.89247236535634
IoT,Friday,10:00,99.2938402798778
OOP,Friday,11:00,80.62427602762662
DBMS,Wednesday,09:00,76.05280806033215
OOP,Friday,11:00,89.36763002495891
DBMS,Thursday,09:00,89.2856512732917
IoT,Friday,09:00,72.12665625903456
DBMS,Wednesday,11:00,97.83346391086587
DS,Monday,09:00,82.6257208028575
DBMS,Friday,11:00,80.31653665926541
IoT,Thursday,12:00,78.79182496587488
DBMS,Tuesday,10:00,87.47552566037531
MFA,Thursday,09:00,80.58631686751566
OOP,Friday,10:00,71.70741444551622
IoT,Tuesday,11:00,72.61842493788231
MFA,Monday,12:00,90.74936908058291
